parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4
ln_likelihood_CamiguinNorte2	200	1.0023911477577632	1600.0256142588821	259.6897793357642	641.9833562380054	421.28883154294573	387.93511294319796	308.8745855291541
root_height_CamiguinNorte2	200	1.0013906062002982	1565.1623581481865	194.916499677968	419.64283784320776	357.1858486738327	414.67466866076654	236.99327133491093
pop_size_CamiguinNorte2	200	1.0008669659099978	2704.693301916489	365.2272051617614	257.47886238531896	392.2359340964898	360.8210178169425	295.0288540529103
pop_size_Dalupiri2	200	1.0011043624763325	1257.6476732305096	219.83610118370055	360.32759840365645	230.06633733745133	233.81292414716714	146.98605638476803
pop_size_root_CamiguinNorte2	200	1.00026199160078	4164.359989903717	484.2163763296273	424.45984761105035	744.4038077005425	496.1073017387599	523.2614284418557
ln_likelihood	300	1.0009715993660284	1765.1679469502665	215.49376529132468	670.1990080050969	374.8442897386702	370.80288137884014	474.5424799635593
ln_likelihood_BabuyanClaro0	300	0.9999308796408826	2233.6548994837026	322.55008456046266	582.7051137317737	512.5212562935194	319.27853406159494	522.4074482708417
root_height_BabuyanClaro0	300	1.0006830625705676	2850.414235877684	396.1428125903089	689.2796438126219	856.1374787320987	901.0	526.2046946132888
pop_size_BabuyanClaro0	300	1.000067258478904	2124.2459279503323	474.9917899749989	460.12236749439876	792.0845729557238	380.44676874462266	467.211919214523
pop_size_Calayan0	300	0.9995119726690685	2512.139932007248	474.7573532439443	312.58045173485704	397.2078506209847	443.54800036540155	345.99583231718555
pop_size_root_BabuyanClaro0	300	0.9999228190672543	2400.929268351501	546.0488373541505	650.7448561934606	442.445039509253	320.8135046129065	420.14018928416345
ln_likelihood_MaestreDeCampo1	300	1.001090461807334	2442.769736908094	568.0291105048632	709.1140592763504	413.8692746973763	463.00391621485954	524.6837482517358
root_height_MaestreDeCampo1	300	0.9996890436818366	3606.9042105445233	757.6975283060625	873.6041990174639	901.0	575.7544510891896	818.6516155355853
pop_size_MaestreDeCampo1	300	1.0005537697762326	1942.239248580736	590.0354345202486	461.7876543871909	446.9639834173668	324.3515461707055	485.0261149637062
pop_size_Masbate1	300	1.0027331756554452	2328.652721186883	616.2293664994337	431.86370802323717	530.3997820933166	555.666661021607	548.9336546704618
pop_size_root_MaestreDeCampo1	300	1.0025303909313306	3010.298762779422	510.8022571507547	435.0423389765579	695.0017942549418	761.4546924465451	562.9840734677406
ln_likelihood_CamiguinNorte2	300	1.0029266058569333	1327.4769707184098	177.35126489532158	526.6314202363791	417.05251750302466	469.5657782575843	312.47359894403644
root_height_CamiguinNorte2	300	1.0012281027906778	1266.9406526140247	167.7465279052709	717.1716247231559	345.5720360135361	461.59796531832495	238.8686099269983
pop_size_CamiguinNorte2	300	1.0004778818392142	1984.4371809562176	346.4701218016386	323.5669917785041	440.6613589099345	377.97174239524645	255.83270250500286
pop_size_Dalupiri2	300	1.0008128174007	1038.630988107909	199.1988358537992	396.8913578154489	234.5357129084753	286.19802574540716	149.28932889715443
pop_size_root_CamiguinNorte2	300	1.0001497355712923	2771.2515405825584	384.45253556642683	476.3361420472231	680.2546890385264	442.72938161579657	458.9999934971242
ln_likelihood	400	1.001744500666053	1679.1180463324451	177.17785583922466	562.6993844981785	338.3279580792036	330.53026270718397	406.9316063359076
ln_likelihood_BabuyanClaro0	400	1.0002423155775897	2253.633052729565	282.1021888924903	533.8923848672414	415.01720231146265	358.8970976019192	360.8345251925337
root_height_BabuyanClaro0	400	1.0009888539779335	2464.271584857878	294.9890520097562	638.7340516828281	801.0	801.0	408.5411303799079
pop_size_BabuyanClaro0	400	0.9996610591202637	2249.3366057042736	418.94216539376185	413.5221804299427	502.8613440538002	272.42529076611237	398.0892211932346
pop_size_Calayan0	400	0.999670247276457	2289.2812836810253	417.830238886186	454.81756080895724	294.14533625366664	444.70076125181106	291.789483864228
pop_size_root_BabuyanClaro0	400	0.9994537454464286	2283.0033818658558	452.33781510817124	410.7969950186703	271.31550386466563	344.24159803426676	397.67006405964537
ln_likelihood_MaestreDeCampo1	400	1.0016207379803044	2348.5710158228426	449.029576070983	532.2409575491372	565.573100885059	336.69241420105345	418.81513404822783
root_height_MaestreDeCampo1	400	0.9996259960458436	3692.5243951813627	685.7722716863177	768.9545867655768	668.8502339586529	492.0622194922971	741.0587585130189
pop_size_MaestreDeCampo1	400	1.0002698502494662	2481.682143083978	658.6178787502002	353.1178397044888	345.7387526547616	286.7866612405136	436.10397046529584
pop_size_Masbate1	400	1.0027065650232496	2257.026765372403	491.41041623403163	369.07595381749405	496.49118363272356	521.758887851884	529.8186863296522
pop_size_root_MaestreDeCampo1	400	1.002230933129187	2896.0285842480926	498.9666258621478	437.96514915756774	427.16266694780177	741.7928422224504	636.6048428077999
ln_likelihood_CamiguinNorte2	400	1.003694536550671	1046.8835875228608	148.87736082749646	506.93466165726403	259.3613710632485	578.8542508257168	265.377086735114
root_height_CamiguinNorte2	400	1.0027945373656686	1010.6727236263619	142.54611172925144	395.6128073878229	244.53487120525114	440.9234933491838	172.63714422922956
pop_size_CamiguinNorte2	400	1.0015023241110308	1739.7281859512145	285.5401637673995	151.19467263089302	347.1576434581086	337.32090654478264	223.86830491006552
pop_size_Dalupiri2	400	1.0014597989156244	794.587732172991	147.0323052893093	258.5443843281662	148.5453412893509	259.7061136718353	117.91920140593956
pop_size_root_CamiguinNorte2	400	1.0010627190492742	2949.0613760417846	446.9302489559408	336.818366214414	801.0	349.8923741568108	345.1751022699915
ln_likelihood	500	1.0014552800143808	1455.092509500962	133.2043358105769	458.2648705810519	330.90453823232866	362.4765988242039	299.9551976207069
ln_likelihood_BabuyanClaro0	500	1.0001761512679936	1736.9965753190363	202.22731294056896	455.40214404752334	352.89476546421395	322.9850113034097	340.50591439511027
root_height_BabuyanClaro0	500	1.0012745103136964	2148.1137790059774	221.05479152908038	547.8938578989653	701.0	701.0	596.9079495186767
pop_size_BabuyanClaro0	500	0.9999703856172782	1713.33101021696	557.6024334704153	282.5707349516379	396.7418410250237	259.4086685315819	384.8907422821545
pop_size_Calayan0	500	1.0000529107340026	1464.344383469191	409.5457066828748	401.29614559413795	278.92669134102675	304.007658247176	375.4259287986361
pop_size_root_BabuyanClaro0	500	0.9995021922486257	1484.1583530246955	406.5964513374118	517.4969246385918	275.63902385640245	290.57012107681066	355.01458024169824
ln_likelihood_MaestreDeCampo1	500	1.001977040208913	1860.782902699655	492.3144517184229	504.5505991687138	419.70951635092047	358.70378102510165	313.96753006021515
root_height_MaestreDeCampo1	500	0.9998075485178622	2196.6061128136344	616.7270349613358	701.0	394.8727165788787	430.16537589867477	623.6928568234374
pop_size_MaestreDeCampo1	500	1.0003228978506384	2058.6498539545228	494.3844862480346	333.9818839516151	426.28312574257325	234.1391891877763	331.25350412307165
pop_size_Masbate1	500	1.0039254376119306	1932.0187254955072	384.3986928564891	371.8675951139247	456.42584831804135	364.5802527570118	507.457922335557
pop_size_root_MaestreDeCampo1	500	1.0019448020636033	2395.890296043902	521.0584965666443	466.6835553589953	493.90001977921486	451.45122763276555	544.2283858704997
ln_likelihood_CamiguinNorte2	500	1.0039534455413939	1303.2713705540525	132.32914916588447	407.22599613845455	304.57288771083273	433.37308423586387	203.65484858310046
root_height_CamiguinNorte2	500	1.002039149054599	1041.8064000865786	120.51047014040451	406.8053084717754	179.87212148190923	308.51749587625915	142.7723039775017
pop_size_CamiguinNorte2	500	1.0003194115973204	1984.6322257395075	274.42510781457264	169.2245880895811	198.20690042939745	211.2467915944185	183.7899603150524
pop_size_Dalupiri2	500	1.0005047726126037	1160.417833248275	161.38646594781096	217.0530122654545	124.65794843759593	197.80929936207608	103.62981888570502
pop_size_root_CamiguinNorte2	500	1.0004577801065786	3023.15743374797	407.990299173212	385.58887130315844	476.6059155201378	346.7793191286592	358.0115961236265
ln_likelihood	600	1.0000617334413047	1713.6720050851523	356.1677808284914	373.85589953488494	259.5412938333167	265.17251930465204	276.08293433586334
ln_likelihood_BabuyanClaro0	600	1.0000113021105117	1767.585388905774	553.2286682903233	413.834902047969	326.86931482892004	280.245958586602	348.66160174582654
root_height_BabuyanClaro0	600	0.9997022067833026	2402.831702000026	323.86720813148156	541.9926432758087	499.15461894434344	601.0	543.2673015607588
pop_size_BabuyanClaro0	600	0.9998247753700599	1627.3605112653092	317.85136167572733	272.47179710169473	482.52313398895967	216.88970727356497	227.8028768595015
pop_size_Calayan0	600	1.0005011201327338	1465.1479365628688	464.8547709719742	381.3609902498038	239.01399610731454	277.84752438754737	264.54268760549473
pop_size_root_BabuyanClaro0	600	0.999918775073084	1493.8821820735661	423.36823899122186	428.32607507032077	223.75367035041813	299.818806850515	356.35448891852246
ln_likelihood_MaestreDeCampo1	600	1.0000451453361718	1520.741373686128	426.50800454433744	378.42764839495493	304.0965507060906	388.5772532800095	289.7109868409334
root_height_MaestreDeCampo1	600	0.9995385261515426	2973.2919136656874	582.7132304438547	601.0	494.9262683578613	437.723321279602	601.0
pop_size_MaestreDeCampo1	600	0.9999569302442873	1439.2279361441667	536.3592116920576	230.60017218099208	374.58518717877195	245.33936967841103	224.2276052561249
pop_size_Masbate1	600	1.0041987406754445	1386.1141949989997	425.5868671264697	255.51146672175187	351.4570759850692	323.3408872656549	308.35531204679427
pop_size_root_MaestreDeCampo1	600	1.0010635562484125	1796.154110107153	491.2221220208526	298.0807053471076	468.02466761599254	601.0	445.9465484897867
ln_likelihood_CamiguinNorte2	600	1.0031936572262197	1106.5380971546679	272.69468814372357	318.34718112484114	235.53114339990006	347.6752581706246	174.97661964255494
root_height_CamiguinNorte2	600	1.0014159062301349	1154.5422860557542	199.9071683304717	494.04184156068	166.3754418392758	412.37170515672614	154.86901437827248
pop_size_CamiguinNorte2	600	0.9999030006731292	1228.8717079971404	234.6242429475306	204.63425800997894	231.15616652826034	235.0243346139009	190.70075943319728
pop_size_Dalupiri2	600	1.0017696093333581	763.6428716086556	133.6624204748927	237.44245576712592	116.59456350268235	195.7585898819757	90.92237845453604
pop_size_root_CamiguinNorte2	600	1.0004881741467306	2233.2734966669314	601.0	343.7810944878164	601.0	491.6795408637858	326.0088970853391
ln_likelihood	700	0.9996519289058018	1275.9492699284615	218.2519873862962	377.0790171802176	186.86062810244908	175.4261348120551	240.2082464154764
ln_likelihood_BabuyanClaro0	700	0.9996546846354578	1171.6225515984543	339.09123414440637	368.43953511270854	215.24530747881457	172.00679341186708	255.3115280445583
root_height_BabuyanClaro0	700	0.9996853372032166	2026.2324017356539	292.8607420533696	501.0	304.0378590050055	387.31984864421713	456.6577496849272
pop_size_BabuyanClaro0	700	0.9995009595235367	944.3532236915598	323.64885619626705	202.33869387775502	267.6917137769005	168.03134641961904	226.3148427848808
pop_size_Calayan0	700	0.9999688828616333	1199.0023748084554	230.89203409157153	264.87110071961666	283.9490095218343	328.26322257621	262.7258416547068
pop_size_root_BabuyanClaro0	700	0.9999584328317765	1041.8502880630974	275.1940444640675	425.91987130086756	191.9734737864653	275.3195807025602	201.84222692490434
ln_likelihood_MaestreDeCampo1	700	1.0000100870829856	1798.3263038510897	460.2050652990086	316.7340343066871	246.79596666262796	378.5326276504805	261.3876355719201
root_height_MaestreDeCampo1	700	0.9996901974810105	1695.7904513213368	501.0	501.0	241.38369563264882	304.9018962535104	430.79576053404855
pop_size_MaestreDeCampo1	700	0.9998801616212682	1366.145155129132	501.0	286.4130421469461	191.72607337976282	274.81759227213365	271.0482414685155
pop_size_Masbate1	700	1.0041582665669582	1492.2440376538875	341.3211338803055	198.36666695470043	280.7372130970203	217.571496345636	274.3635355230237
pop_size_root_MaestreDeCampo1	700	1.0006591831709761	1730.925218969	399.50600423707556	283.70753305128517	261.6773253212281	391.6177331570028	501.0
ln_likelihood_CamiguinNorte2	700	1.0026858339413431	835.178141819644	156.73794958306766	284.5342867531824	183.33228953139266	318.34661127432906	150.42502643123927
root_height_CamiguinNorte2	700	1.001232387124514	1075.108597067609	319.2735250302206	259.3823774316499	112.03112527051738	393.07491502248416	129.32867235471588
pop_size_CamiguinNorte2	700	0.9992619358283095	977.0646401196911	278.11534958049526	161.63735908568972	237.73957961382018	159.31932472267192	173.01062333212465
pop_size_Dalupiri2	700	1.000376542016093	527.746400781121	134.00034143083414	153.15010079955383	99.65171582959105	172.14624579272737	85.30032528142753
pop_size_root_CamiguinNorte2	700	0.9999633608888084	1594.2039877074517	472.0068442130958	305.57779721918894	426.0031339185913	190.0501799082643	214.1275259442511
ln_likelihood	800	0.9999247897411918	1255.6703257251422	215.88627294539512	253.73257491617858	251.87195222152118	166.22695522911872	192.58878701138767
ln_likelihood_BabuyanClaro0	800	1.002016014152156	920.1302735815001	263.4027093859311	341.1623104693107	224.30121763233976	177.1144075134735	306.84553999001446
root_height_BabuyanClaro0	800	1.0009585933128617	1539.4413214689287	283.34089507093853	401.0	401.0	354.16168923715907	349.93450850383226
pop_size_BabuyanClaro0	800	1.0009555782406787	729.2303331976829	182.12076088846908	220.89670228293878	275.85975342425854	116.97868240114656	177.9915000302282
pop_size_Calayan0	800	1.0005752420225964	1158.1363625221784	215.04560722619485	147.21557072022742	200.15325381396727	275.07166676490823	255.46268107151457
pop_size_root_BabuyanClaro0	800	1.001198564421742	943.2898752664817	231.02754284410193	287.496899106946	179.22035150777506	227.09168853619911	177.75431348727906
ln_likelihood_MaestreDeCampo1	800	0.9992883973394465	1651.1285863613527	401.0	238.88055873849342	256.1686494870705	401.0	236.16521053032466
root_height_MaestreDeCampo1	800	0.999404782367087	1608.749839152091	401.0	401.0	204.99348343306454	401.0	294.78549640597225
pop_size_MaestreDeCampo1	800	1.0003285773441146	938.2775012613984	352.73251632075556	149.968947707944	131.37163809447455	191.95786401648317	145.78482703530622
pop_size_Masbate1	800	1.0037848329414643	1176.8305658672923	230.39322851050434	191.33623463699274	229.36910970608935	401.0	247.24164114904903
pop_size_root_MaestreDeCampo1	800	0.999717532635792	1072.4589910537904	228.20956966307176	252.34823684506213	205.40221871438044	342.10029867847464	401.0
