generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler2	2240	1878	1	0.0344828	0.420465	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3376	0	10	0.344828	none	
TimeSizeRateMixer	2992	3250	6	0.206897	0.224471	
TimeRootSizeMixer	3258	3061	6	0.206897	0.278036	
EventTimeScaler	11642	11896	1	0.0344828	0.351673	
RootPopulationSizeScaler0	2166	2427	1	0.0344828	0.328139	
LeafPopulationSizeScaler0	2622	1980	1	0.0344828	0.496566	
RootPopulationSizeScaler1	2201	2375	1	0.0344828	0.318298	
LeafPopulationSizeScaler1	2179	2399	1	0.0344828	0.401035	
RootPopulationSizeScaler2	2100	2452	1	0.0344828	0.299199	
LeafPopulationSizeScaler2	2473	2120	1	0.0344828	0.424549	
generation 11000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3730	0	10	0.344828	none	
TimeSizeRateMixer	3290	3588	6	0.206897	0.225331	
TimeRootSizeMixer	3535	3363	6	0.206897	0.278736	
EventTimeScaler	12810	13128	1	0.0344828	0.353059	
RootPopulationSizeScaler0	2356	2670	1	0.0344828	0.328316	
LeafPopulationSizeScaler0	2864	2169	1	0.0344828	0.500913	
RootPopulationSizeScaler1	2397	2625	1	0.0344828	0.318681	
LeafPopulationSizeScaler1	2369	2660	1	0.0344828	0.400883	
RootPopulationSizeScaler2	2309	2680	1	0.0344828	0.299532	
LeafPopulationSizeScaler2	2696	2329	1	0.0344828	0.427773	
generation 12000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4093	0	10	0.344828	none	
TimeSizeRateMixer	3565	3910	6	0.206897	0.226168	
TimeRootSizeMixer	3839	3698	6	0.206897	0.279713	
EventTimeScaler	13983	14412	1	0.0344828	0.354297	
RootPopulationSizeScaler0	2555	2906	1	0.0344828	0.328956	
LeafPopulationSizeScaler0	3109	2366	1	0.0344828	0.504893	
RootPopulationSizeScaler1	2597	2872	1	0.0344828	0.318513	
LeafPopulationSizeScaler1	2579	2898	1	0.0344828	0.401975	
RootPopulationSizeScaler2	2492	2940	1	0.0344828	0.298955	
LeafPopulationSizeScaler2	2919	2544	1	0.0344828	0.430078	
