generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	338	0	10	0.344828	none	
TimeSizeRateMixer	356	271	6	0.206897	0.167868	
TimeRootSizeMixer	365	227	6	0.206897	0.245131	
EventTimeScaler	1177	1120	1	0.0344828	0.346653	
RootPopulationSizeScaler0	239	221	1	0.0344828	0.283533	
LeafPopulationSizeScaler0	261	197	1	0.0344828	0.402169	
RootPopulationSizeScaler1	263	203	1	0.0344828	0.282448	
LeafPopulationSizeScaler1	238	223	1	0.0344828	0.322602	
RootPopulationSizeScaler2	233	225	1	0.0344828	0.246082	
LeafPopulationSizeScaler2	283	173	1	0.0344828	0.30548	
generation 2000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	686	0	10	0.344828	none	
TimeSizeRateMixer	725	589	6	0.206897	0.183123	
TimeRootSizeMixer	664	516	6	0.206897	0.257305	
EventTimeScaler	2338	2365	1	0.0344828	0.358797	
RootPopulationSizeScaler0	474	436	1	0.0344828	0.297069	
LeafPopulationSizeScaler0	533	390	1	0.0344828	0.456802	
RootPopulationSizeScaler1	486	443	1	0.0344828	0.295714	
LeafPopulationSizeScaler1	472	442	1	0.0344828	0.345847	
RootPopulationSizeScaler2	475	443	1	0.0344828	0.261239	
LeafPopulationSizeScaler2	562	351	1	0.0344828	0.345387	
generation 3000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1032	0	10	0.344828	none	
TimeSizeRateMixer	1072	896	6	0.206897	0.189205	
TimeRootSizeMixer	954	844	6	0.206897	0.262727	
EventTimeScaler	3481	3622	1	0.0344828	0.363092	
RootPopulationSizeScaler0	713	650	1	0.0344828	0.30746	
LeafPopulationSizeScaler0	775	601	1	0.0344828	0.477559	
RootPopulationSizeScaler1	690	694	1	0.0344828	0.300608	
LeafPopulationSizeScaler1	696	680	1	0.0344828	0.352677	
RootPopulationSizeScaler2	689	683	1	0.0344828	0.264042	
LeafPopulationSizeScaler2	818	562	1	0.0344828	0.364708	
generation 4000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1384	0	10	0.344828	none	
TimeSizeRateMixer	1413	1236	6	0.206897	0.1933	
TimeRootSizeMixer	1224	1108	6	0.206897	0.26632	
EventTimeScaler	4556	4908	1	0.0344828	0.365309	
RootPopulationSizeScaler0	940	868	1	0.0344828	0.313553	
LeafPopulationSizeScaler0	1022	795	1	0.0344828	0.490958	
RootPopulationSizeScaler1	910	922	1	0.0344828	0.305562	
LeafPopulationSizeScaler1	925	892	1	0.0344828	0.358484	
RootPopulationSizeScaler2	891	912	1	0.0344828	0.267632	
LeafPopulationSizeScaler2	1058	759	1	0.0344828	0.374397	
generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1737	0	10	0.344828	none	
TimeSizeRateMixer	1760	1525	6	0.206897	0.197704	
TimeRootSizeMixer	1556	1421	6	0.206897	0.27189	
EventTimeScaler	5654	6240	1	0.0344828	0.365939	
RootPopulationSizeScaler0	1154	1117	1	0.0344828	0.316273	
LeafPopulationSizeScaler0	1277	1001	1	0.0344828	0.502084	
RootPopulationSizeScaler1	1108	1183	1	0.0344828	0.30732	
LeafPopulationSizeScaler1	1158	1114	1	0.0344828	0.363933	
RootPopulationSizeScaler2	1103	1159	1	0.0344828	0.269057	
LeafPopulationSizeScaler2	1303	969	1	0.0344828	0.382959	
generation 6000:
