generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2082	0	10	0.344828	none	
TimeSizeRateMixer	2072	1840	6	0.206897	0.200016	
TimeRootSizeMixer	1910	1751	6	0.206897	0.275717	
EventTimeScaler	6790	7564	1	0.0344828	0.367484	
RootPopulationSizeScaler0	1378	1358	1	0.0344828	0.318672	
LeafPopulationSizeScaler0	1503	1245	1	0.0344828	0.507675	
RootPopulationSizeScaler1	1316	1439	1	0.0344828	0.307425	
LeafPopulationSizeScaler1	1369	1370	1	0.0344828	0.365659	
RootPopulationSizeScaler2	1322	1405	1	0.0344828	0.269971	
LeafPopulationSizeScaler2	1560	1183	1	0.0344828	0.389683	
generation 7000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2416	0	10	0.344828	none	
TimeSizeRateMixer	2382	2151	6	0.206897	0.202414	
TimeRootSizeMixer	2220	2095	6	0.206897	0.277572	
EventTimeScaler	7834	8914	1	0.0344828	0.367819	
RootPopulationSizeScaler0	1596	1599	1	0.0344828	0.320354	
LeafPopulationSizeScaler0	1753	1457	1	0.0344828	0.515453	
RootPopulationSizeScaler1	1516	1697	1	0.0344828	0.308063	
LeafPopulationSizeScaler1	1589	1607	1	0.0344828	0.36838	
RootPopulationSizeScaler2	1535	1650	1	0.0344828	0.270969	
LeafPopulationSizeScaler2	1801	1400	1	0.0344828	0.395719	
generation 8000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2781	0	10	0.344828	none	
TimeSizeRateMixer	2689	2462	6	0.206897	0.204122	
TimeRootSizeMixer	2527	2412	6	0.206897	0.279391	
EventTimeScaler	8950	10243	1	0.0344828	0.368699	
RootPopulationSizeScaler0	1804	1828	1	0.0344828	0.3211	
LeafPopulationSizeScaler0	1984	1671	1	0.0344828	0.520113	
RootPopulationSizeScaler1	1708	1950	1	0.0344828	0.307939	
LeafPopulationSizeScaler1	1817	1827	1	0.0344828	0.370528	
RootPopulationSizeScaler2	1737	1893	1	0.0344828	0.272013	
LeafPopulationSizeScaler2	2022	1628	1	0.0344828	0.39994	
generation 9000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3116	0	10	0.344828	none	
TimeSizeRateMixer	3003	2772	6	0.206897	0.2058	
TimeRootSizeMixer	2849	2720	6	0.206897	0.281069	
EventTimeScaler	10023	11516	1	0.0344828	0.369348	
RootPopulationSizeScaler0	2007	2084	1	0.0344828	0.321053	
LeafPopulationSizeScaler0	2194	1908	1	0.0344828	0.5228	
RootPopulationSizeScaler1	1932	2180	1	0.0344828	0.310227	
LeafPopulationSizeScaler1	2025	2066	1	0.0344828	0.372017	
RootPopulationSizeScaler2	1953	2127	1	0.0344828	0.273091	
LeafPopulationSizeScaler2	2264	1855	1	0.0344828	0.403963	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3463	0	10	0.344828	none	
TimeSizeRateMixer	3333	3084	6	0.206897	0.207162	
TimeRootSizeMixer	3138	3043	6	0.206897	0.282097	
EventTimeScaler	11105	12834	1	0.0344828	0.369874	
RootPopulationSizeScaler0	2217	2327	1	0.0344828	0.322253	
LeafPopulationSizeScaler0	2423	2131	1	0.0344828	0.52708	
RootPopulationSizeScaler1	2156	2414	1	0.0344828	0.311269	
LeafPopulationSizeScaler1	2253	2285	1	0.0344828	0.373887	
RootPopulationSizeScaler2	2168	2371	1	0.0344828	0.27395	
LeafPopulationSizeScaler2	2510	2048	1	0.0344828	0.408919	
generation 11000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3805	0	10	0.344828	none	
TimeSizeRateMixer	3635	3412	6	0.206897	0.208044	
TimeRootSizeMixer	3463	3372	6	0.206897	0.283522	
EventTimeScaler	12213	14135	1	0.0344828	0.370406	
RootPopulationSizeScaler0	2427	2580	1	0.0344828	0.322624	
LeafPopulationSizeScaler0	2633	2372	1	0.0344828	0.528963	
RootPopulationSizeScaler1	2369	2657	1	0.0344828	0.311509	
LeafPopulationSizeScaler1	2490	2518	1	0.0344828	0.375628	
RootPopulationSizeScaler2	2399	2603	1	0.0344828	0.275215	
LeafPopulationSizeScaler2	2743	2277	1	0.0344828	0.411705	
generation 12000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4152	0	10	0.344828	none	
TimeSizeRateMixer	3953	3727	6	0.206897	0.209195	
TimeRootSizeMixer	3752	3665	6	0.206897	0.284415	
EventTimeScaler	13304	15420	1	0.0344828	0.370728	
RootPopulationSizeScaler0	2625	2825	1	0.0344828	0.322949	
LeafPopulationSizeScaler0	2855	2582	1	0.0344828	0.532286	
RootPopulationSizeScaler1	2585	2873	1	0.0344828	0.313086	
LeafPopulationSizeScaler1	2708	2740	1	0.0344828	0.377091	
RootPopulationSizeScaler2	2614	2836	1	0.0344828	0.275967	
LeafPopulationSizeScaler2	2986	2477	1	0.0344828	0.415186	
