generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
TimeSizeRateMixer	2107	1701	6	0.206897	0.191927	
TimeRootSizeMixer	2045	1816	6	0.206897	0.271182	
EventTimeScaler	7065	7336	1	0.0344828	0.367651	
RootPopulationSizeScaler0	1396	1396	1	0.0344828	0.300961	
LeafPopulationSizeScaler0	1813	940	1	0.0344828	0.382255	
RootPopulationSizeScaler1	1388	1366	1	0.0344828	0.297025	
LeafPopulationSizeScaler1	1346	1403	1	0.0344828	0.388297	
RootPopulationSizeScaler2	1441	1339	1	0.0344828	0.271133	
LeafPopulationSizeScaler2	1703	1024	1	0.0344828	0.348253	
generation 7000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2398	0	10	0.344828	none	
TimeSizeRateMixer	2407	1977	6	0.206897	0.194181	
TimeRootSizeMixer	2349	2163	6	0.206897	0.272271	
EventTimeScaler	8161	8634	1	0.0344828	0.368686	
RootPopulationSizeScaler0	1608	1625	1	0.0344828	0.302957	
LeafPopulationSizeScaler0	2074	1119	1	0.0344828	0.392586	
RootPopulationSizeScaler1	1609	1583	1	0.0344828	0.299371	
LeafPopulationSizeScaler1	1566	1636	1	0.0344828	0.391111	
RootPopulationSizeScaler2	1662	1564	1	0.0344828	0.273262	
LeafPopulationSizeScaler2	1948	1217	1	0.0344828	0.354493	
generation 8000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2745	0	10	0.344828	none	
TimeSizeRateMixer	2716	2252	6	0.206897	0.196192	
TimeRootSizeMixer	2685	2482	6	0.206897	0.274528	
EventTimeScaler	9282	9919	1	0.0344828	0.369693	
RootPopulationSizeScaler0	1813	1858	1	0.0344828	0.304276	
LeafPopulationSizeScaler0	2337	1300	1	0.0344828	0.401169	
RootPopulationSizeScaler1	1827	1815	1	0.0344828	0.300544	
LeafPopulationSizeScaler1	1780	1871	1	0.0344828	0.393467	
RootPopulationSizeScaler2	1883	1785	1	0.0344828	0.275668	
LeafPopulationSizeScaler2	2218	1404	1	0.0344828	0.361636	
generation 9000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3094	0	10	0.344828	none	
TimeSizeRateMixer	3042	2571	6	0.206897	0.19739	
TimeRootSizeMixer	2994	2773	6	0.206897	0.276286	
EventTimeScaler	10413	11158	1	0.0344828	0.371004	
RootPopulationSizeScaler0	2025	2099	1	0.0344828	0.305047	
LeafPopulationSizeScaler0	2612	1482	1	0.0344828	0.408976	
RootPopulationSizeScaler1	2039	2051	1	0.0344828	0.301914	
LeafPopulationSizeScaler1	1978	2118	1	0.0344828	0.393536	
RootPopulationSizeScaler2	2095	2019	1	0.0344828	0.276519	
LeafPopulationSizeScaler2	2486	1587	1	0.0344828	0.367929	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3437	0	10	0.344828	none	
TimeSizeRateMixer	3398	2884	6	0.206897	0.199313	
TimeRootSizeMixer	3300	3094	6	0.206897	0.277313	
EventTimeScaler	11499	12493	1	0.0344828	0.37116	
RootPopulationSizeScaler0	2235	2360	1	0.0344828	0.305448	
LeafPopulationSizeScaler0	2873	1684	1	0.0344828	0.41497	
RootPopulationSizeScaler1	2265	2294	1	0.0344828	0.303506	
LeafPopulationSizeScaler1	2166	2394	1	0.0344828	0.393422	
RootPopulationSizeScaler2	2308	2271	1	0.0344828	0.27751	
LeafPopulationSizeScaler2	2750	1776	1	0.0344828	0.372625	
generation 11000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3785	0	10	0.344828	none	
TimeSizeRateMixer	3693	3156	6	0.206897	0.200832	
TimeRootSizeMixer	3600	3397	6	0.206897	0.278652	
EventTimeScaler	12580	13758	1	0.0344828	0.371857	
RootPopulationSizeScaler0	2431	2589	1	0.0344828	0.306061	
LeafPopulationSizeScaler0	3146	1845	1	0.0344828	0.421934	
RootPopulationSizeScaler1	2479	2510	1	0.0344828	0.305174	
LeafPopulationSizeScaler1	2353	2628	1	0.0344828	0.393781	
RootPopulationSizeScaler2	2495	2511	1	0.0344828	0.278004	
LeafPopulationSizeScaler2	2970	1977	1	0.0344828	0.375179	
generation 12000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4094	0	10	0.344828	none	
TimeSizeRateMixer	4022	3466	6	0.206897	0.202196	
TimeRootSizeMixer	3913	3738	6	0.206897	0.28007	
EventTimeScaler	13619	15053	1	0.0344828	0.372273	
RootPopulationSizeScaler0	2660	2842	1	0.0344828	0.307121	
LeafPopulationSizeScaler0	3415	2038	1	0.0344828	0.426971	
RootPopulationSizeScaler1	2708	2750	1	0.0344828	0.306595	
LeafPopulationSizeScaler1	2567	2871	1	0.0344828	0.395123	
RootPopulationSizeScaler2	2745	2730	1	0.0344828	0.28005	
LeafPopulationSizeScaler2	3212	2204	1	0.0344828	0.378202	
