generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	356	0	10	0.344828	none	
TimeSizeRateMixer	372	241	6	0.206897	0.152503	
TimeRootSizeMixer	377	226	6	0.206897	0.233661	
EventTimeScaler	1331	1037	1	0.0344828	0.340479	
RootPopulationSizeScaler0	252	204	1	0.0344828	0.27129	
LeafPopulationSizeScaler0	311	127	1	0.0344828	0.246888	
RootPopulationSizeScaler1	248	188	1	0.0344828	0.268567	
LeafPopulationSizeScaler1	257	188	1	0.0344828	0.355443	
RootPopulationSizeScaler2	277	167	1	0.0344828	0.235894	
LeafPopulationSizeScaler2	314	127	1	0.0344828	0.243549	
generation 2000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	715	0	10	0.344828	none	
TimeSizeRateMixer	691	492	6	0.206897	0.1683	
TimeRootSizeMixer	733	563	6	0.206897	0.248391	
EventTimeScaler	2516	2267	1	0.0344828	0.354514	
RootPopulationSizeScaler0	493	420	1	0.0344828	0.28716	
LeafPopulationSizeScaler0	638	248	1	0.0344828	0.302655	
RootPopulationSizeScaler1	480	410	1	0.0344828	0.281414	
LeafPopulationSizeScaler1	467	430	1	0.0344828	0.367885	
RootPopulationSizeScaler2	519	388	1	0.0344828	0.255043	
LeafPopulationSizeScaler2	603	285	1	0.0344828	0.287652	
generation 3000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1033	0	10	0.344828	none	
TimeSizeRateMixer	1093	822	6	0.206897	0.178157	
TimeRootSizeMixer	1092	864	6	0.206897	0.257339	
EventTimeScaler	3676	3543	1	0.0344828	0.359836	
RootPopulationSizeScaler0	735	680	1	0.0344828	0.292236	
LeafPopulationSizeScaler0	949	425	1	0.0344828	0.333494	
RootPopulationSizeScaler1	728	663	1	0.0344828	0.287869	
LeafPopulationSizeScaler1	708	680	1	0.0344828	0.380953	
RootPopulationSizeScaler2	779	625	1	0.0344828	0.262061	
LeafPopulationSizeScaler2	914	467	1	0.0344828	0.312793	
generation 4000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1372	0	10	0.344828	none	
TimeSizeRateMixer	1423	1092	6	0.206897	0.18463	
TimeRootSizeMixer	1411	1157	6	0.206897	0.265317	
EventTimeScaler	4824	4729	1	0.0344828	0.363883	
RootPopulationSizeScaler0	932	927	1	0.0344828	0.294766	
LeafPopulationSizeScaler0	1248	575	1	0.0344828	0.356111	
RootPopulationSizeScaler1	943	889	1	0.0344828	0.291084	
LeafPopulationSizeScaler1	914	909	1	0.0344828	0.38362	
RootPopulationSizeScaler2	984	863	1	0.0344828	0.266124	
LeafPopulationSizeScaler2	1169	646	1	0.0344828	0.327943	
generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1708	0	10	0.344828	none	
TimeSizeRateMixer	1748	1388	6	0.206897	0.188778	
TimeRootSizeMixer	1737	1494	6	0.206897	0.268553	
EventTimeScaler	5939	6026	1	0.0344828	0.366079	
RootPopulationSizeScaler0	1178	1148	1	0.0344828	0.299892	
LeafPopulationSizeScaler0	1529	752	1	0.0344828	0.371505	
RootPopulationSizeScaler1	1158	1136	1	0.0344828	0.293556	
LeafPopulationSizeScaler1	1131	1149	1	0.0344828	0.386399	
RootPopulationSizeScaler2	1220	1091	1	0.0344828	0.26948	
LeafPopulationSizeScaler2	1438	833	1	0.0344828	0.338913	
generation 6000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2045	0	10	0.344828	none	
