generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	332	0	10	0.344828	none	
TimeSizeRateMixer	319	295	6	0.206897	0.209455	
TimeRootSizeMixer	412	227	6	0.206897	0.231989	
EventTimeScaler	1322	1006	1	0.0344828	0.325691	
RootPopulationSizeScaler0	260	189	1	0.0344828	0.271208	
LeafPopulationSizeScaler0	293	157	1	0.0344828	0.340873	
RootPopulationSizeScaler1	251	219	1	0.0344828	0.278935	
LeafPopulationSizeScaler1	271	203	1	0.0344828	0.299169	
RootPopulationSizeScaler2	277	180	1	0.0344828	0.219055	
LeafPopulationSizeScaler2	250	207	1	0.0344828	0.389095	
generation 2000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	699	0	10	0.344828	none	
TimeSizeRateMixer	582	605	6	0.206897	0.215474	
TimeRootSizeMixer	748	524	6	0.206897	0.246494	
EventTimeScaler	2540	2188	1	0.0344828	0.341919	
RootPopulationSizeScaler0	495	395	1	0.0344828	0.290195	
LeafPopulationSizeScaler0	556	330	1	0.0344828	0.390379	
RootPopulationSizeScaler1	477	430	1	0.0344828	0.295119	
LeafPopulationSizeScaler1	502	409	1	0.0344828	0.316548	
RootPopulationSizeScaler2	483	412	1	0.0344828	0.228981	
LeafPopulationSizeScaler2	478	402	1	0.0344828	0.417234	
generation 3000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1060	0	10	0.344828	none	
TimeSizeRateMixer	908	934	6	0.206897	0.220386	
TimeRootSizeMixer	1037	796	6	0.206897	0.252183	
EventTimeScaler	3667	3464	1	0.0344828	0.346117	
RootPopulationSizeScaler0	710	619	1	0.0344828	0.297223	
LeafPopulationSizeScaler0	824	503	1	0.0344828	0.416037	
RootPopulationSizeScaler1	704	648	1	0.0344828	0.29944	
LeafPopulationSizeScaler1	724	632	1	0.0344828	0.326355	
RootPopulationSizeScaler2	710	621	1	0.0344828	0.239258	
LeafPopulationSizeScaler2	717	606	1	0.0344828	0.432436	
generation 4000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1417	0	10	0.344828	none	
TimeSizeRateMixer	1200	1242	6	0.206897	0.222967	
TimeRootSizeMixer	1348	1103	6	0.206897	0.256194	
EventTimeScaler	4840	4691	1	0.0344828	0.350958	
RootPopulationSizeScaler0	908	864	1	0.0344828	0.299435	
LeafPopulationSizeScaler0	1076	687	1	0.0344828	0.432	
RootPopulationSizeScaler1	923	869	1	0.0344828	0.304712	
LeafPopulationSizeScaler1	962	836	1	0.0344828	0.333903	
RootPopulationSizeScaler2	935	837	1	0.0344828	0.243055	
LeafPopulationSizeScaler2	943	814	1	0.0344828	0.442924	
generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1744	0	10	0.344828	none	
TimeSizeRateMixer	1499	1591	6	0.206897	0.223382	
TimeRootSizeMixer	1682	1405	6	0.206897	0.26142	
EventTimeScaler	5959	5945	1	0.0344828	0.353461	
RootPopulationSizeScaler0	1138	1096	1	0.0344828	0.30416	
LeafPopulationSizeScaler0	1353	877	1	0.0344828	0.447046	
RootPopulationSizeScaler1	1130	1133	1	0.0344828	0.30616	
LeafPopulationSizeScaler1	1194	1063	1	0.0344828	0.339851	
RootPopulationSizeScaler2	1166	1059	1	0.0344828	0.246068	
LeafPopulationSizeScaler2	1159	1063	1	0.0344828	0.446237	
generation 6000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2075	0	10	0.344828	none	
TimeSizeRateMixer	1800	1935	6	0.206897	0.224803	
TimeRootSizeMixer	2008	1727	6	0.206897	0.264452	
EventTimeScaler	7090	7214	1	0.0344828	0.355793	
RootPopulationSizeScaler0	1364	1337	1	0.0344828	0.306422	
LeafPopulationSizeScaler0	1613	1084	1	0.0344828	0.456195	
RootPopulationSizeScaler1	1356	1382	1	0.0344828	0.308372	
LeafPopulationSizeScaler1	1440	1275	1	0.0344828	0.345928	
RootPopulationSizeScaler2	1390	1302	1	0.0344828	0.248633	
LeafPopulationSizeScaler2	1379	1295	1	0.0344828	0.45023	
generation 7000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2442	0	10	0.344828	none	
TimeSizeRateMixer	2080	2267	6	0.206897	0.225584	
TimeRootSizeMixer	2280	2046	6	0.206897	0.265822	
EventTimeScaler	8223	8478	1	0.0344828	0.357736	
RootPopulationSizeScaler0	1565	1568	1	0.0344828	0.30802	
LeafPopulationSizeScaler0	1844	1284	1	0.0344828	0.46294	
RootPopulationSizeScaler1	1563	1605	1	0.0344828	0.310468	
LeafPopulationSizeScaler1	1660	1492	1	0.0344828	0.350012	
RootPopulationSizeScaler2	1611	1524	1	0.0344828	0.251694	
LeafPopulationSizeScaler2	1584	1524	1	0.0344828	0.451166	
generation 8000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2791	0	10	0.344828	none	
TimeSizeRateMixer	2386	2573	6	0.206897	0.22713	
TimeRootSizeMixer	2588	2341	6	0.206897	0.267843	
EventTimeScaler	9374	9721	1	0.0344828	0.359202	
RootPopulationSizeScaler0	1770	1804	1	0.0344828	0.308957	
LeafPopulationSizeScaler0	2077	1485	1	0.0344828	0.468636	
RootPopulationSizeScaler1	1767	1840	1	0.0344828	0.311564	
LeafPopulationSizeScaler1	1864	1725	1	0.0344828	0.352462	
RootPopulationSizeScaler2	1852	1727	1	0.0344828	0.254984	
LeafPopulationSizeScaler2	1791	1754	1	0.0344828	0.453992	
generation 9000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3166	0	10	0.344828	none	
TimeSizeRateMixer	2666	2878	6	0.206897	0.228048	
TimeRootSizeMixer	2876	2626	6	0.206897	0.269486	
EventTimeScaler	10499	11005	1	0.0344828	0.359957	
RootPopulationSizeScaler0	1972	2024	1	0.0344828	0.310685	
LeafPopulationSizeScaler0	2300	1669	1	0.0344828	0.474107	
