generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	354	0	10	0.344828	none	
TimeSizeRateMixer	271	292	6	0.206897	0.220294	
TimeRootSizeMixer	379	268	6	0.206897	0.236514	
EventTimeScaler	1353	962	1	0.0344828	0.301995	
RootPopulationSizeScaler0	237	208	1	0.0344828	0.29632	
LeafPopulationSizeScaler0	312	147	1	0.0344828	0.333786	
RootPopulationSizeScaler1	273	175	1	0.0344828	0.25113	
LeafPopulationSizeScaler1	260	188	1	0.0344828	0.325231	
RootPopulationSizeScaler2	262	180	1	0.0344828	0.235092	
LeafPopulationSizeScaler2	279	172	1	0.0344828	0.401927	
generation 2000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	716	0	10	0.344828	none	
TimeSizeRateMixer	538	610	6	0.206897	0.22414	
TimeRootSizeMixer	744	584	6	0.206897	0.253963	
EventTimeScaler	2611	2152	1	0.0344828	0.321682	
RootPopulationSizeScaler0	471	422	1	0.0344828	0.315002	
LeafPopulationSizeScaler0	595	312	1	0.0344828	0.391687	
RootPopulationSizeScaler1	504	398	1	0.0344828	0.270486	
LeafPopulationSizeScaler1	479	430	1	0.0344828	0.339472	
RootPopulationSizeScaler2	496	394	1	0.0344828	0.248948	
LeafPopulationSizeScaler2	515	393	1	0.0344828	0.432237	
generation 3000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1079	0	10	0.344828	none	
TimeSizeRateMixer	845	930	6	0.206897	0.227039	
TimeRootSizeMixer	1066	868	6	0.206897	0.260828	
EventTimeScaler	3875	3351	1	0.0344828	0.330348	
RootPopulationSizeScaler0	666	663	1	0.0344828	0.318204	
LeafPopulationSizeScaler0	854	499	1	0.0344828	0.418173	
RootPopulationSizeScaler1	734	607	1	0.0344828	0.279447	
LeafPopulationSizeScaler1	723	627	1	0.0344828	0.35296	
RootPopulationSizeScaler2	720	614	1	0.0344828	0.256887	
LeafPopulationSizeScaler2	724	623	1	0.0344828	0.438248	
generation 4000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1441	0	10	0.344828	none	
TimeSizeRateMixer	1102	1267	6	0.206897	0.227099	
TimeRootSizeMixer	1391	1224	6	0.206897	0.265331	
EventTimeScaler	5058	4610	1	0.0344828	0.335218	
RootPopulationSizeScaler0	846	930	1	0.0344828	0.317538	
LeafPopulationSizeScaler0	1118	688	1	0.0344828	0.436596	
RootPopulationSizeScaler1	938	856	1	0.0344828	0.28331	
LeafPopulationSizeScaler1	944	879	1	0.0344828	0.355662	
RootPopulationSizeScaler2	952	837	1	0.0344828	0.261274	
LeafPopulationSizeScaler2	946	856	1	0.0344828	0.445359	
generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1770	0	10	0.344828	none	
TimeSizeRateMixer	1388	1596	6	0.206897	0.229137	
TimeRootSizeMixer	1677	1535	6	0.206897	0.26742	
EventTimeScaler	6180	5795	1	0.0344828	0.338745	
RootPopulationSizeScaler0	1069	1162	1	0.0344828	0.32158	
LeafPopulationSizeScaler0	1376	865	1	0.0344828	0.451241	
RootPopulationSizeScaler1	1170	1073	1	0.0344828	0.287521	
