generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler1	1159	1108	1	0.0344828	0.359375	
RootPopulationSizeScaler2	1158	1065	1	0.0344828	0.26373	
LeafPopulationSizeScaler2	1163	1077	1	0.0344828	0.45235	
generation 6000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2120	0	10	0.344828	none	
TimeSizeRateMixer	1676	1935	6	0.206897	0.230222	
TimeRootSizeMixer	1979	1860	6	0.206897	0.26965	
EventTimeScaler	7364	6990	1	0.0344828	0.342164	
RootPopulationSizeScaler0	1264	1417	1	0.0344828	0.320912	
LeafPopulationSizeScaler0	1629	1060	1	0.0344828	0.462437	
RootPopulationSizeScaler1	1391	1301	1	0.0344828	0.290713	
LeafPopulationSizeScaler1	1395	1325	1	0.0344828	0.362979	
RootPopulationSizeScaler2	1372	1311	1	0.0344828	0.265216	
LeafPopulationSizeScaler2	1376	1319	1	0.0344828	0.45483	
generation 7000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2462	0	10	0.344828	none	
TimeSizeRateMixer	1950	2276	6	0.206897	0.230164	
TimeRootSizeMixer	2277	2153	6	0.206897	0.272179	
EventTimeScaler	8451	8219	1	0.0344828	0.343792	
RootPopulationSizeScaler0	1487	1635	1	0.0344828	0.323152	
LeafPopulationSizeScaler0	1862	1268	1	0.0344828	0.469688	
RootPopulationSizeScaler1	1582	1541	1	0.0344828	0.292526	
LeafPopulationSizeScaler1	1600	1554	1	0.0344828	0.365388	
RootPopulationSizeScaler2	1588	1550	1	0.0344828	0.266901	
LeafPopulationSizeScaler2	1591	1542	1	0.0344828	0.459529	
generation 8000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2826	0	10	0.344828	none	
TimeSizeRateMixer	2220	2609	6	0.206897	0.230693	
TimeRootSizeMixer	2557	2422	6	0.206897	0.275193	
EventTimeScaler	9614	9396	1	0.0344828	0.346572	
RootPopulationSizeScaler0	1675	1867	1	0.0344828	0.323199	
LeafPopulationSizeScaler0	2096	1461	1	0.0344828	0.476705	
RootPopulationSizeScaler1	1800	1744	1	0.0344828	0.294458	
LeafPopulationSizeScaler1	1801	1762	1	0.0344828	0.36766	
RootPopulationSizeScaler2	1796	1767	1	0.0344828	0.268837	
LeafPopulationSizeScaler2	1811	1744	1	0.0344828	0.463244	
generation 9000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3143	0	10	0.344828	none	
TimeSizeRateMixer	2511	2936	6	0.206897	0.231276	
TimeRootSizeMixer	2884	2737	6	0.206897	0.277237	
EventTimeScaler	10720	10597	1	0.0344828	0.347863	
RootPopulationSizeScaler0	1871	2123	1	0.0344828	0.323661	
LeafPopulationSizeScaler0	2350	1669	1	0.0344828	0.483836	
RootPopulationSizeScaler1	2036	1971	1	0.0344828	0.296703	
LeafPopulationSizeScaler1	2038	1984	1	0.0344828	0.370111	
RootPopulationSizeScaler2	2026	1989	1	0.0344828	0.270771	
LeafPopulationSizeScaler2	2018	2000	1	0.0344828	0.465427	
generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3482	0	10	0.344828	none	
TimeSizeRateMixer	2814	3236	6	0.206897	0.232355	
TimeRootSizeMixer	3188	3063	6	0.206897	0.278368	
EventTimeScaler	11804	11868	1	0.0344828	0.348823	
RootPopulationSizeScaler0	2078	2366	1	0.0344828	0.324373	
LeafPopulationSizeScaler0	2596	1871	1	0.0344828	0.489534	
RootPopulationSizeScaler1	2248	2209	1	0.0344828	0.297605	
LeafPopulationSizeScaler1	2234	2228	1	0.0344828	0.371144	
RootPopulationSizeScaler2	2234	2229	1	0.0344828	0.271508	
LeafPopulationSizeScaler2	2229	2234	1	0.0344828	0.466713	
generation 11000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	3829	0	10	0.344828	none	
TimeSizeRateMixer	3107	3597	6	0.206897	0.232556	
TimeRootSizeMixer	3464	3375	6	0.206897	0.279565	
EventTimeScaler	12917	13152	1	0.0344828	0.349799	
RootPopulationSizeScaler0	2291	2598	1	0.0344828	0.325021	
LeafPopulationSizeScaler0	2830	2085	1	0.0344828	0.492917	
RootPopulationSizeScaler1	2477	2422	1	0.0344828	0.299591	
LeafPopulationSizeScaler1	2435	2469	1	0.0344828	0.372142	
RootPopulationSizeScaler2	2442	2471	1	0.0344828	0.271901	
LeafPopulationSizeScaler2	2427	2494	1	0.0344828	0.466058	
generation 12000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	4156	0	10	0.344828	none	
TimeSizeRateMixer	3385	3955	6	0.206897	0.232565	
TimeRootSizeMixer	3785	3738	6	0.206897	0.280351	
EventTimeScaler	14073	14348	1	0.0344828	0.351081	
RootPopulationSizeScaler0	2532	2834	1	0.0344828	0.326123	
LeafPopulationSizeScaler0	3064	2321	1	0.0344828	0.495887	
RootPopulationSizeScaler1	2691	2679	1	0.0344828	0.30041	
LeafPopulationSizeScaler1	2667	2709	1	0.0344828	0.373571	
RootPopulationSizeScaler2	2681	2716	1	0.0344828	0.273602	
LeafPopulationSizeScaler2	2650	2753	1	0.0344828	0.466922	
